index,gene_symbol-0,n_cells-0,n_cells-1,means,dispersions,dispersions_norm
IDE,IDE,100,41,0.005617266,0.23851618,-0.15280126
HHEX,HHEX,783,207,0.03874381,0.37606245,0.25834078
EXOC6,EXOC6,366,71,0.017089233,0.86804897,1.7289466
CEP55,CEP55,10,3,0.0004486236,0.31547228,0.07722959
FRA10AC1,FRA10AC1,1070,157,0.047085322,0.265419,-0.07238554
SLC35G1,SLC35G1,70,16,0.003351155,0.26964948,-0.05974017
PLCE1,PLCE1,168,15,0.007032792,0.2625565,-0.08094193
NOC3L,NOC3L,652,42,0.02894834,0.29642567,0.02029704
PDLIM1,PDLIM1,565,171,0.031834852,0.40433666,0.34285572
TCTN3,TCTN3,815,110,0.035900615,0.30440208,0.04413948
ENTPD1-AS1,ENTPD1-AS1,110,23,0.005185627,0.23719329,-0.15675555
CCNJ,CCNJ,131,9,0.0055843387,0.6302206,1.0180495
BLNK,BLNK,860,110,0.043958873,0.63940966,1.0455167
FRAT1,FRAT1,94,63,0.007627204,1.4151539,3.3643079
EXOSC1,EXOSC1,2917,348,0.12930515,0.34750772,0.1729873
AVPI1,AVPI1,476,25,0.017882656,0.52469516,0.7026215
ZFYVE27,ZFYVE27,419,65,0.018360604,0.2336685,-0.16729154
GOLGA7B,GOLGA7B,49,18,0.0028839163,0.22371635,-0.19703971
GOT1,GOT1,659,53,0.030215552,0.31890446,0.08748879
RP11-441O15.3,RP11-441O15.3,16,5,0.0008187911,0.28329638,-0.018947972
CUTC,CUTC,1601,231,0.068435565,0.4017623,0.33516067
COX15,COX15,412,53,0.017203221,0.29487276,0.015655208
ERLIN1,ERLIN1,225,20,0.009038807,0.29585606,0.018594403
NDUFB8,NDUFB8,8692,1074,0.3964424,0.70886284,0.4592428
RP11-179B2.2,RP11-179B2.2,93,11,0.0038737287,0.22101909,-0.20510213
FAM178A,FAM178A,692,47,0.028262138,0.31416446,0.073320374
MRPL43,MRPL43,2238,468,0.10459534,0.96999186,2.033666
C10orf2,C10orf2,111,29,0.0058410633,0.22025548,-0.20738466
LZTS2,LZTS2,77,13,0.00498421,2.402689,6.316167
SFXN3,SFXN3,414,67,0.017733317,0.23853251,-0.15275244
DPCD,DPCD,162,16,0.007325941,0.25803822,-0.094447576
FBXW4,FBXW4,130,37,0.007199256,0.85595405,1.6927935
NPM3,NPM3,1447,171,0.07064694,0.40556285,0.34652096
MGEA5,MGEA5,1759,269,0.07797891,0.36367625,0.22131696
HPS6,HPS6,560,52,0.02197658,0.25179726,-0.113102555
NOLC1,NOLC1,986,117,0.047297716,0.36472675,0.22445704
GBF1,GBF1,148,59,0.008773962,0.25200298,-0.112487614
NFKB2,NFKB2,1767,141,0.07326249,0.23180336,-0.17286669
FBXL15,FBXL15,1804,319,0.080936074,0.2609752,-0.08566857
C10orf95,C10orf95,50,4,0.0021801349,0.3609482,0.21316251
TRIM8,TRIM8,541,170,0.026961256,0.2993359,0.02899605
C10orf32,C10orf32,1624,239,0.076369256,0.8288881,1.6118902
PCGF6,PCGF6,286,62,0.012876936,0.25782195,-0.09509405
USMG5,USMG5,5201,513,0.21859325,0.25178558,-0.113137476
OBFC1,OBFC1,564,205,0.03214857,0.27685988,-0.03818742
SFR1,SFR1,888,102,0.03780545,0.25291318,-0.109766945
GSTO2,GSTO2,22,5,0.0010014108,0.23991571,-0.1486179
ITPRIP,ITPRIP,327,44,0.014228892,0.23691264,-0.15759444
XPNPEP1,XPNPEP1,456,118,0.021195631,0.25550723,-0.10201301
ADD3,ADD3,1773,518,0.09277232,0.30130747,0.034889314
MXI1,MXI1,640,55,0.026035018,0.2950998,0.01633384
SMNDC1,SMNDC1,1005,114,0.043935828,0.3722366,0.2469049
DUSP5,DUSP5,1330,90,0.057438336,0.23250747,-0.17076202
SMC3,SMC3,2531,201,0.10329747,0.33559123,0.13736752
PDCD4-AS1,PDCD4-AS1,799,73,0.035494957,0.3887612,0.29629883
PDCD4,PDCD4,5895,491,0.27594215,0.6420452,0.27570483
BBIP1,BBIP1,883,99,0.036487892,0.49046826,0.60031325
SHOC2,SHOC2,2078,142,0.08267007,0.552796,0.78661823
GPAM,GPAM,42,8,0.001994105,0.3067208,0.051070377
VTI1A,VTI1A,481,124,0.025141086,1.4927808,3.596344
NHLRC2,NHLRC2,171,33,0.007815254,0.22593811,-0.1903986
C10orf118,C10orf118,1421,108,0.059222955,0.35236427,0.18750413
ABLIM1,ABLIM1,1380,182,0.06453863,0.44329375,0.45930308
FAM204A,FAM204A,2253,347,0.10337962,0.37732115,0.2621032
EIF3A,EIF3A,2314,284,0.10246984,0.2513974,-0.11429778
FAM45A,FAM45A,707,227,0.035828218,0.41454613,0.37337306
SFXN4,SFXN4,304,70,0.015237156,0.30959862,0.059672557
PRDX3,PRDX3,2699,363,0.118466206,0.75751954,1.3985611
GRK5,GRK5,819,53,0.032684043,0.27185142,-0.053158298
RGS10,RGS10,8476,1119,0.40187958,0.5851233,0.11934895
TIAL1,TIAL1,2102,285,0.09206029,0.30838197,0.056035846
PLEKHA1,PLEKHA1,1044,151,0.048379596,1.2695574,2.9291027
CUZD1,CUZD1,6,5,0.00044747765,0.36982772,0.23970443
FAM24B,FAM24B,187,52,0.010576346,0.24662161,-0.12857318
C10orf88,C10orf88,208,33,0.009885953,0.23751701,-0.15578789
ACADSB,ACADSB,162,59,0.009396452,0.27054328,-0.05706849
OAT,OAT,903,124,0.040206883,0.49469703,0.61295354
FAM53B,FAM53B,213,69,0.010103054,0.25310922,-0.10918096
METTL10,METTL10,831,132,0.040604535,0.39323196,0.30966246
FAM175B,FAM175B,714,74,0.03162843,0.22821376,-0.18359643
CTBP2,CTBP2,465,61,0.01811403,0.366941,0.2310757
RP11-383C5.4,RP11-383C5.4,48,14,0.00286864,0.32381046,0.102153406
EDRF1,EDRF1,305,30,0.0127834845,0.22588047,-0.19057089
UROS,UROS,724,310,0.0411228,0.21811661,-0.21377799
BCCIP,BCCIP,1174,182,0.053737205,0.25307164,-0.10929329
FANK1,FANK1,48,8,0.0021165109,0.5843958,0.88107383
MKI67,MKI67,20,11,0.0014266665,0.5108032,0.6610969
MGMT,MGMT,712,409,0.047467615,0.7662499,1.4246571
LINC00959,LINC00959,32,3,0.0015450912,0.2682512,-0.06391975
GLRX3,GLRX3,3280,342,0.1442336,0.47935563,0.5670963
BNIP3,BNIP3,429,97,0.019986939,0.2777145,-0.035632886
PWWP2B,PWWP2B,157,48,0.0084486045,0.21372297,-0.22691108
ADAM8,ADAM8,2011,193,0.08100864,0.33511573,0.1359462
ZNF511,ZNF511,754,261,0.040473,0.21968451,-0.20909135
ECHS1,ECHS1,2095,375,0.09407326,0.43868634,0.44553098
PAOX,PAOX,308,53,0.012990767,0.22697218,-0.18730766
SYCE1,SYCE1,14,16,0.0016042899,1.7593261,4.3930793
SCGB1C1,SCGB1C1,25,9,0.0016360598,0.8377726,1.6384469
RIC8A,RIC8A,1753,177,0.07309725,0.29691532,0.021760667
SIRT3,SIRT3,231,35,0.01062497,0.46831214,0.534086
PSMD13,PSMD13,3870,473,0.17111906,0.27821213,-0.034145385
RP11-326C3.2,RP11-326C3.2,6,4,0.000583139,0.35349125,0.19087279
IFITM2,IFITM2,11598,1900,0.7733065,0.9510082,-0.1458609
IFITM1,IFITM1,3818,1281,0.23173468,0.42527097,0.40543088
IFITM3,IFITM3,9119,599,1.2500322,2.1558807,1.483779
RP11-326C3.12,RP11-326C3.12,83,11,0.00362104,0.47412282,0.55145484
RP11-326C3.15,RP11-326C3.15,16,11,0.0015515329,0.4560759,0.49751046
SIGIRR,SIGIRR,1395,606,0.07954053,0.3544028,0.19359756
RASSF7,RASSF7,819,228,0.03941529,0.21784763,-0.214582
IRF7,IRF7,12564,439,0.80152255,1.0828803,0.01095704
SCT,SCT,58,3,0.0044080745,0.7030341,1.2356976
DEAF1,DEAF1,525,68,0.025053384,0.33255672,0.12829703
TMEM80,TMEM80,634,137,0.029914081,0.46882904,0.53563106
TALDO1,TALDO1,9165,987,0.5366413,1.1701924,0.5333473
EFCAB4A,EFCAB4A,17,6,0.0010378514,0.21499035,-0.22312276
CHID1,CHID1,751,183,0.036474228,0.30626568,0.049709994
TOLLIP-AS1,TOLLIP-AS1,66,35,0.0042235237,0.2597344,-0.08937752
MOB2,MOB2,1464,236,0.06647527,0.8465172,1.6645856
IFITM10,IFITM10,63,5,0.0026100369,0.5780779,0.8621889
CTSD,CTSD,4704,651,0.29595348,0.6672484,0.34493428
TNNI2,TNNI2,95,64,0.006821054,1.1489363,2.568552
LSP1,LSP1,6706,1464,0.36233398,0.4919362,-0.13662194
MRPL23,MRPL23,3136,777,0.15791813,0.4753306,0.555065
TSSC4,TSSC4,3039,283,0.12916407,0.29717642,0.02254112
KCNQ1OT1,KCNQ1OT1,362,81,0.021583304,2.1622148,5.5973606
CDKN1C,CDKN1C,361,106,0.02153592,0.35968393,0.20938346
PHLDA2,PHLDA2,917,31,0.03804074,0.31282312,0.06931094
NAP1L4,NAP1L4,2277,358,0.100078166,0.43550792,0.43603033
CARS,CARS,1447,168,0.06854254,0.86509895,1.7201287
ZNF195,ZNF195,497,79,0.022406075,0.4300135,0.41960686
NUP98,NUP98,1020,90,0.043502223,0.23158446,-0.173521
PGAP2,PGAP2,197,67,0.011051053,0.22558683,-0.19144861
STIM1,STIM1,197,94,0.011071119,0.24985155,-0.11891849
RRM1,RRM1,766,87,0.032320954,0.24295074,-0.13954586
TRIM22,TRIM22,5862,534,0.27424362,0.47968847,-0.17026463
FAM160A2,FAM160A2,449,75,0.021935662,0.24719024,-0.1268735
APBB1,APBB1,471,93,0.020913163,0.3129518,0.0696956
ARFIP2,ARFIP2,613,145,0.030716699,0.23606186,-0.16013753
TIMM10B,TIMM10B,1289,161,0.05861479,0.8700758,1.7350051
RRP8,RRP8,720,101,0.033163223,0.23452671,-0.16472627
ILK,ILK,4081,303,0.16614325,0.22230655,-0.20125377
TAF10,TAF10,413,127,0.022563107,2.159368,5.5888515
MRPL17,MRPL17,1843,168,0.07992937,0.45515406,0.49475494
RIC3,RIC3,765,261,0.045908593,1.1395881,2.5406091
TRIM66,TRIM66,26,17,0.0017877026,0.25701773,-0.09749795
TMEM9B,TMEM9B,5210,516,0.2184576,0.4124168,0.36700818
TMEM41B,TMEM41B,667,95,0.028678007,0.35792103,0.20411395
SBF2-AS1,SBF2-AS1,260,10,0.011663673,0.25191867,-0.11273963
ADM,ADM,1684,28,0.072969995,0.23644467,-0.15899326
CTR9,CTR9,1406,104,0.05882678,0.27279392,-0.05034106
ZBED5,ZBED5,560,57,0.023572661,0.26315078,-0.07916553
ZBED5-AS1,ZBED5-AS1,389,68,0.01799192,1.0678556,2.3261921
USP47,USP47,1635,110,0.06921139,0.67805415,1.1610297
DKK3,DKK3,81,12,0.0039719474,0.55031943,0.77921546
MICAL2,MICAL2,80,27,0.003999175,0.42102125,0.39272794
BTBD10,BTBD10,718,64,0.02953019,0.22330585,-0.19826673
RRAS2,RRAS2,516,104,0.025718424,0.3094128,0.059117123
COPB1,COPB1,2466,150,0.09884624,0.21762815,-0.21523805
PDE3B,PDE3B,1006,101,0.0422102,0.28010294,-0.028493535
NUCB2,NUCB2,2492,311,0.119336516,0.4403326,0.45045182
SAAL1,SAAL1,530,70,0.026498657,0.6022134,0.9343326
GTF2H1,GTF2H1,1424,126,0.05916222,0.24267441,-0.14037183
LDHA,LDHA,12310,1325,0.6254369,0.8231518,-0.0011997618
SPTY2D1,SPTY2D1,696,56,0.02817556,0.3522944,0.18729523
HTATIP2,HTATIP2,5616,336,0.22940645,0.29121974,0.0047359015
PRMT3,PRMT3,228,34,0.010322442,0.24614939,-0.12998469
FANCF,FANCF,954,77,0.042558633,0.4644109,0.52242476
SVIP,SVIP,2249,357,0.11020172,0.4389065,0.44618905
BDNF-AS,BDNF-AS,8,4,0.000582269,0.4245674,0.4033278
METTL15,METTL15,188,26,0.008340376,0.29914236,0.028417546
ARL14EP,ARL14EP,1927,275,0.087622486,0.35911188,0.2076735
DNAJC24,DNAJC24,269,32,0.0119338585,0.30143505,0.035270676
IMMP1L,IMMP1L,399,73,0.018852975,0.2640311,-0.07653412
ELP4,ELP4,375,44,0.016749797,0.25627097,-0.09973009
RCN1,RCN1,496,66,0.02270813,0.24385127,-0.13685404
EIF3M,EIF3M,6372,939,0.29614484,0.4979955,-0.11997798
QSER1,QSER1,150,12,0.006544162,0.2877884,-0.005520809
TCP11L1,TCP11L1,224,15,0.0093911085,0.7123207,1.2634563
CSTF3,CSTF3,870,96,0.036162265,0.28324914,-0.019089168
CD59,CD59,3256,171,0.13963763,0.40532815,0.3458194
FBXO3,FBXO3,850,119,0.03710605,0.45041806,0.48059845
CAT,CAT,1547,378,0.0754167,0.7705255,1.4374374
TRIM44,TRIM44,963,98,0.040519536,0.24342597,-0.13812535
COMMD9,COMMD9,1015,326,0.053085726,0.30268222,0.038998608
PRR5L,PRR5L,479,32,0.01989605,0.8281659,1.6097313
API5,API5,1527,150,0.0676685,0.274795,-0.044359602
HSD17B12,HSD17B12,789,112,0.035050467,0.42130524,0.39357683
CD82,CD82,1573,188,0.07607788,1.0165296,2.1727726
TP53I11,TP53I11,90,27,0.0045166616,0.26460588,-0.07481607
CTD-2210P24.4,CTD-2210P24.4,33,4,0.001504826,0.27460977,-0.04491325
CRY2,CRY2,174,33,0.0080850385,0.22895017,-0.18139519
PEX16,PEX16,1793,325,0.08573777,0.7496641,1.3750803
DGKZ,DGKZ,406,269,0.027521972,0.7086429,1.252463
ARHGAP1,ARHGAP1,287,174,0.01786588,0.23188259,-0.17262986
ZNF408,ZNF408,283,18,0.0120895,0.5261971,0.7071109
C11orf49,C11orf49,284,45,0.012028519,0.25372615,-0.10733686
ARFGAP2,ARFGAP2,1859,277,0.082514085,0.40343475,0.34015983
DDB2,DDB2,451,111,0.022939771,0.5927727,0.9061134
MADD,MADD,188,73,0.012818024,2.5012903,6.6108975
SPI1,SPI1,7034,571,0.44968462,0.6117311,0.19243659
SLC39A13,SLC39A13,382,37,0.015484193,0.29032424,0.0020591458
CELF1,CELF1,1392,257,0.06508979,0.7763322,1.4547943
NDUFS3,NDUFS3,2434,449,0.115748845,0.33449388,0.1340874
KBTBD4,KBTBD4,812,89,0.03409077,0.23834805,-0.15330382
MTCH2,MTCH2,2623,223,0.10971237,0.57974964,0.86718583
FNBP4,FNBP4,1431,203,0.06633663,0.74156165,1.3508611
NUP160,NUP160,614,163,0.031418167,0.31417167,0.073341936
SSRP1,SSRP1,1652,224,0.0732199,0.2705834,-0.056948587
YPEL4,YPEL4,255,5,0.009511658,0.25805175,-0.094407134
CLP1,CLP1,840,42,0.03215581,0.2838511,-0.017289875
MED19,MED19,1922,127,0.08046716,0.31878504,0.08713184
TMX2,TMX2,2234,269,0.10550521,1.3448426,3.154139
CTNND1,CTNND1,272,21,0.010854453,0.3687354,0.23643936
LPXN,LPXN,4143,226,0.17876257,0.30196288,0.03684842
FAM111B,FAM111B,22,8,0.0009645433,0.25011262,-0.11813813
AP001258.4,AP001258.4,245,39,0.011286952,0.32088006,0.093394086
MRPL16,MRPL16,2603,309,0.112869866,0.27819514,-0.03419616
MS4A6A,MS4A6A,2940,427,0.20796621,1.188593,2.6870906
MS4A4A,MS4A4A,1849,90,0.13384067,0.90625316,1.8431435
MS4A7,MS4A7,5213,315,0.48787653,1.4845961,1.0176239
MS4A1,MS4A1,1626,423,0.1387004,1.2200876,2.7812319
CCDC86,CCDC86,169,37,0.008424915,0.2266626,-0.188233
PTGDR2,PTGDR2,6,10,0.00065453164,0.3215682,0.095451005
PRPF19,PRPF19,1127,179,0.053650904,0.36317083,0.21980621
TMEM109,TMEM109,1999,334,0.09301618,0.36837363,0.235358
CD6,CD6,3219,295,0.14167209,0.43708906,0.4407565
CD5,CD5,1120,197,0.053207785,0.45645654,0.49864823
DDB1,DDB1,1060,165,0.04738495,0.28767157,-0.005870013
DAK,DAK,196,60,0.01030376,0.23528554,-0.16245805
TMEM138,TMEM138,1747,177,0.07648335,0.35868177,0.20638786
TMEM216,TMEM216,891,119,0.039762728,0.29173678,0.006281397
SDHAF2,SDHAF2,2673,342,0.12198215,0.5086839,0.654762
FEN1,FEN1,478,62,0.020923883,0.2714398,-0.054388706
FADS1,FADS1,51,39,0.0049796216,2.493189,6.5866823
FTH1,FTH1,28731,2668,4.6375,4.8384466,0.70710677
AP003733.1,AP003733.1,191,114,0.011933188,0.31907585,0.08800111
AHNAK,AHNAK,1057,740,0.076647855,0.79548836,1.5120543
TUT1,TUT1,284,51,0.013312563,0.30275065,0.03920314
MTA2,MTA2,136,38,0.0068447804,0.22784004,-0.18471353
ROM1,ROM1,69,7,0.0034110777,1.9497386,4.962245
B3GAT3,B3GAT3,1069,230,0.051651537,0.39341205,0.31020078
INTS5,INTS5,439,77,0.019563967,0.23026998,-0.17745012
C11orf48,C11orf48,4366,376,0.18626443,0.26268548,-0.080556385
METTL12,METTL12,605,128,0.026741667,0.27275172,-0.050467197
C11orf83,C11orf83,1048,216,0.04949475,0.3653497,0.22631913
UBXN1,UBXN1,10406,1367,0.46705914,0.8822431,0.08981861
GNG3,GNG3,9,9,0.0010886121,0.551081,0.7814919
TTC9C,TTC9C,1322,96,0.05559116,0.40100485,0.33289656
POLR2G,POLR2G,3722,658,0.17213318,0.4548853,0.4939516
TAF6L,TAF6L,211,46,0.010327652,0.37774318,0.2633647
TMEM223,TMEM223,1266,176,0.056280084,0.3783276,0.2651116
NXF1,NXF1,1107,187,0.049286194,0.22198541,-0.20221367
STX5,STX5,2416,324,0.10552734,0.2621374,-0.08219461
RP11-727F15.9,RP11-727F15.9,140,85,0.009816066,0.32248977,0.09820571
WDR74,WDR74,1796,278,0.089215256,0.43899164,0.44644356
RARRES3,RARRES3,8488,1266,0.4556275,0.9898385,1.2310405
HRASLS2,HRASLS2,266,10,0.012749806,0.3173156,0.08273953
PLA2G16,PLA2G16,922,113,0.04042947,0.40798384,0.3537576
OTUB1,OTUB1,3041,437,0.13047382,0.43285662,0.42810526
STIP1,STIP1,2596,184,0.11151774,0.35443968,0.19370775
FERMT3,FERMT3,3172,489,0.15379274,0.8820387,1.7707636
TRPT1,TRPT1,511,121,0.022915484,0.22015953,-0.20767146
NUDT22,NUDT22,1443,249,0.065728754,0.26736262,-0.06657584
FKBP2,FKBP2,4696,370,0.20344996,0.34038746,0.15170403
PPP1R14B,PPP1R14B,590,57,0.028794123,0.49560517,0.6156681
GPR137,GPR137,875,60,0.03700626,0.26184672,-0.08306353
ESRRA,ESRRA,158,49,0.008120766,0.24997374,-0.11855326
PRDX5,PRDX5,6010,954,0.28006974,0.521325,-0.055895377
CCDC88B,CCDC88B,185,100,0.011868694,0.21403186,-0.22598779
RASGRP2,RASGRP2,1401,655,0.08967755,1.4490741,3.4656997
SF1,SF1,4523,824,0.21316355,0.30390245,0.04264601
AP001462.6,AP001462.6,34,7,0.0017331011,0.38462627,0.28393903
EHD1,EHD1,1314,304,0.063335165,0.27631092,-0.039828323
ATG2A,ATG2A,279,136,0.016408196,0.23546603,-0.16191852
PPP2R5B,PPP2R5B,146,36,0.0073151775,0.24215017,-0.14193884
ARL2,ARL2,2049,308,0.095017865,1.102407,2.4294703
SAC3D1,SAC3D1,383,77,0.018742332,0.5989219,0.92449397
NAALADL1,NAALADL1,253,72,0.014789979,0.71299,1.265457
VPS51,VPS51,1067,352,0.057914704,0.45244735,0.4866643
TM7SF2,TM7SF2,140,42,0.0075468333,0.26703548,-0.0675537
ZNHIT2,ZNHIT2,793,70,0.033688236,0.27117476,-0.05518092
SYVN1,SYVN1,258,81,0.015020266,1.9607674,4.995211
MRPL49,MRPL49,1494,184,0.07248817,0.42890057,0.41628015
DPF2,DPF2,1259,143,0.05260401,0.23055497,-0.17659827
SLC25A45,SLC25A45,272,190,0.021468896,0.74063027,1.348077
FRMD8,FRMD8,413,104,0.019345582,0.5617322,0.8133295
AP000769.7,AP000769.7,17,7,0.0007914503,0.2809721,-0.025895528
LTBP3,LTBP3,232,94,0.013651165,0.24462135,-0.1345522
SSSCA1-AS1,SSSCA1-AS1,80,5,0.0031753166,0.23019233,-0.17768222
SSSCA1,SSSCA1,1547,230,0.07264143,0.32941163,0.118895955
SIPA1,SIPA1,659,260,0.03602303,0.21550384,-0.22158787
KAT5,KAT5,1926,165,0.08038413,0.23015209,-0.17780253
RNASEH2C,RNASEH2C,4247,464,0.18170752,0.28927523,-0.0010764749
EFEMP2,EFEMP2,16,3,0.0007095973,0.27585587,-0.041188527
CTSW,CTSW,2030,808,0.18660432,1.5553159,3.7832687
CCDC85B,CCDC85B,3397,956,0.18518029,0.57047176,0.83945316
BANF1,BANF1,4315,663,0.1944858,0.21344559,-0.22774023
SF3B2,SF3B2,4479,551,0.19320692,0.29366302,0.012039165
PACS1,PACS1,379,134,0.021974834,1.4005567,3.3206751
RP11-755F10.1,RP11-755F10.1,37,5,0.0014464462,0.22808158,-0.1839915
KLC2,KLC2,193,39,0.008859244,0.23265305,-0.17032684
RAB1B,RAB1B,801,173,0.03721776,0.36969692,0.23931344
YIF1A,YIF1A,2700,267,0.118774615,0.25689796,-0.09785597
BRMS1,BRMS1,2115,323,0.09428585,0.2294303,-0.17996003
MRPL11,MRPL11,2057,425,0.10268995,0.35122696,0.18410455
PELI3,PELI3,17,14,0.0012270372,0.38100684,0.27312014
DPP3,DPP3,437,93,0.021669768,0.22092877,-0.20537211
BBS1,BBS1,30,13,0.0024398523,0.97286797,2.042263
ZDHHC24,ZDHHC24,676,138,0.030976674,0.2194013,-0.2099379
CCS,CCS,994,267,0.04856998,0.21810664,-0.21380779
RBM14,RBM14,1575,204,0.067150705,0.242131,-0.14199616
RBM4,RBM4,1289,277,0.06312698,0.65112096,1.0805231
RBM4B,RBM4B,737,57,0.031769127,0.6744973,1.1503978
RCE1,RCE1,926,109,0.042617097,0.2766084,-0.0389391
ANKRD13D,ANKRD13D,346,175,0.019494684,0.23331937,-0.16833514
SSH3,SSH3,44,11,0.0019608573,0.24362248,-0.13753793
RAD9A,RAD9A,1659,136,0.06658287,0.3322084,0.12725583
TBC1D10C,TBC1D10C,2022,812,0.11679407,0.46479803,0.5235819
CARNS1,CARNS1,9,8,0.000860794,0.2575605,-0.09587557
RPS6KB2,RPS6KB2,1604,273,0.0727788,0.28652164,-0.009307267
AP003419.16,AP003419.16,9,9,0.00076037383,0.34932846,0.17842972
PTPRCAP,PTPRCAP,5757,1729,0.39783958,1.1980937,1.803086
CORO1B,CORO1B,1556,442,0.082212545,0.8500185,1.6750515
TMEM134,TMEM134,1952,341,0.08647715,0.28590778,-0.011142192
AIP,AIP,2437,471,0.11140379,0.26028654,-0.08772709
CDK2AP2,CDK2AP2,3284,435,0.1497012,0.43628764,0.438361
GSTP1,GSTP1,10553,1238,0.5813806,0.7678772,-0.086339325
NDUFV1,NDUFV1,1338,368,0.063332625,0.23772813,-0.15515684
RP11-119D9.1,RP11-119D9.1,55,10,0.0029232407,0.21492487,-0.22331847
NDUFS8,NDUFS8,2814,643,0.14059669,0.4752289,0.55476105
SUV420H1,SUV420H1,774,92,0.033022214,0.25092688,-0.115704216
PPP6R3,PPP6R3,573,111,0.025877956,0.22730957,-0.18629915
MRPL21,MRPL21,2541,434,0.12116695,0.67397743,1.1488439
IGHMBP2,IGHMBP2,129,21,0.0066094575,0.65949726,1.1055609
CCND1,CCND1,69,9,0.003363094,0.58199626,0.87390125
ORAOV1,ORAOV1,322,60,0.016748544,0.7367924,1.3366052
FADD,FADD,1492,78,0.059662238,0.25072166,-0.11631764
RP11-805J14.5,RP11-805J14.5,6,3,0.00033443354,0.31066585,0.062862605
CTTN,CTTN,31,7,0.0011966542,0.26124477,-0.08486281
DHCR7,DHCR7,199,20,0.009262713,0.35769492,0.20343807
RP11-660L16.2,RP11-660L16.2,600,181,0.028732233,0.23058772,-0.17650037
NADSYN1,NADSYN1,311,115,0.016139222,0.22730312,-0.18631844
RP11-849H4.2,RP11-849H4.2,116,23,0.0050360668,0.21887803,-0.21150202
RNF121,RNF121,557,54,0.02306887,0.28634322,-0.009840605
NUMA1,NUMA1,387,102,0.018962404,0.29915825,0.028465029
LRTOMT,LRTOMT,164,7,0.0057839733,0.28070518,-0.026693352
LAMTOR1,LAMTOR1,6621,928,0.30117854,0.5101919,-0.08647625
FOLR3,FOLR3,58,157,0.01266527,1.0810566,2.3656516
ARAP1,ARAP1,475,136,0.021824019,0.35477751,0.1947176
STARD10,STARD10,257,19,0.009979714,0.3473599,0.17254545
ATG16L2,ATG16L2,509,180,0.027359104,0.22833635,-0.18322998
P2RY6,P2RY6,1131,4,0.05007294,0.26639947,-0.06945481
RAB6A,RAB6A,1974,264,0.084343776,0.27847636,-0.03335558
MRPL48,MRPL48,1163,240,0.05533857,0.2661628,-0.070162214
COA4,COA4,1761,287,0.08400124,0.3764548,0.25951356
PAAF1,PAAF1,631,71,0.026142659,0.24050805,-0.14684734
UCP2,UCP2,3299,1499,0.22374731,0.6581676,1.1015863
C2CD3,C2CD3,138,27,0.0058344537,0.24727878,-0.12660882
PPME1,PPME1,250,38,0.011357177,0.2542648,-0.10572678
PGM2L1,PGM2L1,465,47,0.024090225,2.1517816,5.5661745
LIPT2,LIPT2,143,33,0.006859714,0.25498793,-0.103565276
AP001372.2,AP001372.2,126,15,0.00518659,0.24115033,-0.14492747
POLD3,POLD3,518,53,0.022000471,0.4570173,0.50032437
XRRA1,XRRA1,329,148,0.019709678,0.9615936,2.0085626
RPS3,RPS3,27957,2684,2.4354,1.7083821,0.70610386
SERPINH1,SERPINH1,166,20,0.007488919,0.91399604,1.8662878
UVRAG,UVRAG,718,112,0.031089226,0.26463762,-0.0747212
RP11-111M22.2,RP11-111M22.2,68,10,0.0030266736,0.21751824,-0.21556659
RP11-111M22.3,RP11-111M22.3,147,39,0.007924809,0.5168775,0.6792535
C11orf30,C11orf30,435,57,0.018623848,0.22163858,-0.20325042
AP001189.4,AP001189.4,122,15,0.007121353,0.8023003,1.532416
CLNS1A,CLNS1A,3142,585,0.15548976,0.57049257,0.8395154
INTS4,INTS4,485,68,0.020874612,0.25337592,-0.10838376
USP35,USP35,44,10,0.0022538493,0.24282993,-0.13990694
NARS2,NARS2,413,44,0.01878306,0.25480843,-0.10410182
C11orf82,C11orf82,52,6,0.0028274767,0.37800255,0.26413998
RAB30,RAB30,306,30,0.014127897,0.7023597,1.2336817
PCF11,PCF11,1547,143,0.064870395,0.279173,-0.031273272
ANKRD42,ANKRD42,181,30,0.008903224,0.40983126,0.35927972
CCDC90B,CCDC90B,3305,274,0.13401082,0.32095695,0.093623914
TMEM126B,TMEM126B,2373,312,0.10570612,0.46236694,0.5163151
TMEM126A,TMEM126A,2012,219,0.0897803,0.28645927,-0.009493717
CREBZF,CREBZF,760,77,0.03176242,0.70820135,1.2511432
SYTL2,SYTL2,314,41,0.012116316,0.42861843,0.4154368
PICALM,PICALM,1138,119,0.045858655,0.25765347,-0.09559763
EED,EED,1514,79,0.060830735,0.25773114,-0.09536549
C11orf73,C11orf73,3071,348,0.1310889,0.23683119,-0.15783791
PRSS23,PRSS23,167,101,0.012114658,0.5150882,0.6739052
TMEM135,TMEM135,48,18,0.0029143982,0.2734705,-0.048318703
CTSC,CTSC,5366,723,0.5462818,1.9834206,1.7859641
CHORDC1,CHORDC1,2706,124,0.13026546,0.69527805,1.2125139
SMCO4,SMCO4,2982,282,0.13715719,0.31119716,0.06445077
KIAA1731,KIAA1731,243,26,0.011406162,0.45837885,0.50439423
TAF1D,TAF1D,2634,405,0.13106301,0.7382673,1.3410139
MED17,MED17,1262,126,0.051541362,0.22387418,-0.19656792
MRE11A,MRE11A,363,54,0.017656963,0.57984024,0.8674567
